id,text
SLIM-01,_____で障害や困難に直面しても、それを克服するまで粘り強く取り組み続ける。
SLIM-02,_____で難しい課題に直面しても、それが完了するまで粘り強く取り組むだろう。
SLIM-03,粘り強く取り組むことで、_____での逆境を乗り越えてきた。
SLIM-04,粘り強く取り組むことで、_____での困難を乗り越えている。
SLIM-05,_____での技能を向上させるために、多大な努力を払っている。
SLIM-06,_____でより有能になれるよう懸命に取り組んでいる。
SLIM-07,_____での技能を向上させるために、練習に励んでいる。
SLIM-08,_____でより熟達するために、多大な努力を惜しまない。
SLIM-09,_____に参加し始めてから、上達してきた。
SLIM-10,_____を始めてから、自分は成長している。
SLIM-11,_____において、自分が進歩してきたと感じている。
SLIM-12,_____を始めた当初から、進歩してきた。
SLIM-13,_____への自分の関わり方を形作ってきた、具体的な出来事に心当たりがある。
SLIM-14,自分にとって、_____への関わり方に影響を与えた特定の出来事がある。
SLIM-15,_____の中で、自分の関わり方を大きく形作った決定的な瞬間がある。
SLIM-16,_____への自分の関わり方を決定づけた、特別な成功や挫折があった。
SLIM-17,_____によって、自分の人生は豊かになった。
SLIM-18,_____は自分の人生に豊かさをもたらした。
SLIM-19,_____に関わることで、自分の人生はより豊かになった。
SLIM-20,_____での経験で、自分の人生はより豊かになった。
SLIM-21,_____のとき、自分の才能を最大限に発揮している。
SLIM-22,_____において、自分の潜在能力を引き出せている。
SLIM-23,_____によって、自分の潜在能力について実感できた。
SLIM-24,_____において、自分の潜在能力を最大限に発揮しつつある。
SLIM-25,_____によって、自分の知識や専門性を表現することができる。
SLIM-26,_____は、自分の技術や能力を披露する手段である。
SLIM-27,_____のとき、自分の技術や能力を明確に示している。
SLIM-28,_____に参加しているとき、自分に知識があることは明白だ。
SLIM-29,_____は自分にとって自己表現の手段である。
SLIM-30,_____を通じて、自分の個性が表現されている。
SLIM-31,_____への参加を通じて、自分という人間が表現されている。
SLIM-32,_____によって、自分が何者であるかを表現できる。
SLIM-33,_____の結果、自分自身に対する見方が良くなった。
SLIM-34,_____を始めてから、自分自身に対するイメージが良くなった。
SLIM-35,_____が、自分自身に対するイメージを向上させた。
SLIM-36,_____が、自分自身についての考え方を良くした。
SLIM-37,_____は自分に深い満足感をもたらす。
SLIM-38,_____での経験で、深い充実感を覚える。
SLIM-39,_____に深い満足感を見出している。
SLIM-40,_____は自分に強い充実感をもたらす。
SLIM-41,自分は_____に楽しみを見出す。
SLIM-42,_____は自分にとって楽しいものである。
SLIM-43,_____は自分にとっておもしろいものである。
SLIM-44,_____を楽しんでいる。
SLIM-45,_____のあと、気持ちが新たになる。
SLIM-46,_____のあと、活力が戻るように感じる。
SLIM-47,_____に参加した後、元気づけられるように感じる。
SLIM-48,_____は自分を元気づけてくれる。
SLIM-49,金銭的に、_____への関わりから利益を得たことがある。
SLIM-50,_____での努力の結果、金銭的な支払いを受けたことがある。
SLIM-51,_____における自分の技術や能力の結果として、お金を受け取ったことがある。
SLIM-52,_____に関する専門知識で、金銭的報酬を得たことがある。
SLIM-53,_____に参加している他の人々と付き合いがある。
SLIM-54,_____に熱心な人々との交流を楽しんでいる。
SLIM-55,自分と同じく_____に関わっている人との交流に価値を感じている。
SLIM-56,_____に専念している人々との付き合いが好きだ。
SLIM-57,_____において、グループとしての達成感は自分にとって重要である。
SLIM-58,自分の_____グループの成果は、自分にとって非常に重要である。
SLIM-59,自分の_____グループが何かを達成する手助けをすることで、自分の重要性を感じられる。
SLIM-60,自分の_____グループの達成に一役買ったとき、自分が重要であると感じる。
SLIM-61,自分の_____グループの発展は、自分にとって重要である。
SLIM-62,自分は_____グループが一体感を持つことに貢献している。
SLIM-63,自分の_____グループの結束を確かなものにすることに価値を見出している。
SLIM-64,自分の_____グループをまとめる務めを果たすことは重要だ。
SLIM-65,自分は_____に熱心な仲間と多くの思いを共有している。
SLIM-66,_____に熱心な他の人々と自分は、多くの同じ理想を共有している。
SLIM-67,自分は_____グループの理想の多くを共有している。
SLIM-68,_____に熱心な人々が共通して抱くような感覚を自分も持っている
SLIM-69,自分を知る人は、_____が自分という人間の一部であることを理解している。
SLIM-70,自分は_____に熱心な人としてしばしば認識されている。
SLIM-71,他の人々は、自分を_____に専念する人だと認識している。
SLIM-72,他の人々は、自分が_____と強く結びついていると認識している。
