id,text
SLIM-01,_____で障害や困難に直面しても、それを克服するまで粘り強く取り組み続ける。
SLIM-05,_____での技能を向上させるために、多大な努力を払っている。
SLIM-11,_____において、自分が進歩してきたと感じている。
SLIM-15,_____の中で、自分の関わり方を大きく形作った決定的な瞬間がある。
SLIM-19,_____に関わることで、自分の人生はより豊かになった。
SLIM-21,_____のとき、自分の才能を最大限に発揮している。
SLIM-26,_____は、自分の技術や能力を披露する手段である。
SLIM-30,_____を通じて、自分の個性が表現されている。
SLIM-34,_____を始めてから、自分自身に対するイメージが良くなった。
SLIM-37,_____は自分に深い満足感をもたらす。
SLIM-42,_____は自分にとって楽しいものである。
SLIM-48,_____は自分を元気づけてくれる。
SLIM-51,_____における自分の技術や能力の結果として、お金を受け取ったことがある。
SLIM-54,_____に熱心な人々との交流を楽しんでいる。
SLIM-59,自分の_____グループが何かを達成する手助けをすることで、自分の重要性を感じられる。
SLIM-63,自分の_____グループの結束を確かなものにすることに価値を見出している。
SLIM-65,自分は_____に熱心な仲間と多くの思いを共有している。
SLIM-69,自分を知る人は、_____が自分という人間の一部であることを理解している。
